startDate,sellerMetric.value,platformMetric.value
2022-07-30,13232.0,188721.0
2022-07-31,6928.0,208330.0
2022-08-01,10322.0,239983.0
2022-08-02,8625.0,194862.0
2022-08-03,8496.0,286282.0
2022-08-04,4445.0,180566.0
2022-08-05,18703.0,179915.0
2022-08-06,20997.0,123744.0
2022-08-07,7044.0,154326.0
2022-08-08,7044.0,180334.0
2022-08-09,4570.0,144766.0
2022-08-10,13494.0,164338.0
2022-08-11,13494.0,141052.0
2022-08-12,13494.0,110287.0
2022-08-13,17992.0,146318.0
2022-08-14,20241.0,155549.0
2022-08-15,13494.0,179031.0
2022-08-16,13494.0,164494.0
2022-08-17,20129.0,162192.0
2022-08-18,22490.0,118146.0
2022-08-19,0.0,120412.0
2022-08-20,2249.0,96846.0
2022-08-21,0.0,101012.0
2022-08-22,0.0,126902.0
2022-08-23,0.0,118137.0
2022-08-24,0.0,98856.0
2022-08-25,0.0,114166.07
2022-08-26,0.0,99668.0
2022-08-27,0.0,60605.0
2022-08-28,0.0,77697.0
2022-08-29,0.0,60880.0
2022-08-30,0.0,64159.0
2022-08-31,0.0,57498.0
2022-09-01,0.0,39636.0
2022-09-02,0.0,49648.0
2022-09-03,0.0,34099.0
2022-09-04,0.0,41430.0
2022-09-05,0.0,39719.0
2022-09-06,0.0,29770.0
2022-09-07,0.0,21598.0
2022-09-08,0.0,34439.0
2022-09-09,0.0,45776.0
2022-09-10,0.0,62524.0
2022-09-11,0.0,43082.0
2022-09-12,0.0,38916.0
2022-09-13,0.0,37689.0
2022-09-14,0.0,54077.0
2022-09-15,0.0,54338.0
2022-09-16,0.0,25958.0
2022-09-17,0.0,24015.0
2022-09-18,0.0,31020.0
2022-09-19,0.0,45047.0
2022-09-20,2699.0,33264.0
2022-09-21,0.0,32844.0
2022-09-22,0.0,28705.0
2022-09-23,0.0,37560.0
2022-09-24,0.0,20970.0
2022-09-25,0.0,34962.0
2022-09-26,0.0,22437.0
2022-09-27,0.0,32146.0
2022-09-28,0.0,19963.0
2022-09-29,0.0,14394.0
2022-09-30,0.0,18095.0
2022-10-01,0.0,21838.0
2022-10-02,0.0,23990.0
2022-10-03,0.0,68671.0
2022-10-04,0.0,16026.0
2022-10-05,0.0,39116.0
2022-10-06,0.0,26243.0
2022-10-07,0.0,18969.0
2022-10-08,2299.0,21696.0
2022-10-09,0.0,17550.0
2022-10-10,2299.0,34598.0
2022-10-11,0.0,37352.0
2022-10-12,0.0,25343.0
2022-10-13,2024.0,25524.0
2022-10-14,2299.0,20454.0
2022-10-15,2024.0,17341.0
2022-10-16,6072.0,42931.0
2022-10-17,6072.0,34599.0
2022-10-18,2024.0,19886.0
2022-10-19,0.0,24669.0
2022-10-20,2024.0,33671.91
2022-10-21,2024.0,9311.0
2022-10-22,0.0,18972.0
2022-10-23,2249.0,15978.0
2022-10-24,4048.0,35498.0
2022-10-25,2024.0,22951.0
2022-10-26,0.0,22964.0
2022-10-27,2299.0,30176.0
2022-10-28,0.0,30399.0
2022-10-29,0.0,24334.0
2022-10-30,2299.0,13950.0
2022-10-31,0.0,14119.0
