,value
0,31681.11351872847
1,22020.45822197961
2,12482.76315538087
3,16708.808891342065
4,31704.683985376992
5,39839.21522332423
6,32194.299715430516
7,24421.74744872226
8,41711.1503582655
9,87289.33327168766
10,133128.8358637076
11,148615.52303931763
12,136723.945685948
13,134139.52418766372
14,171546.4574038069
15,238112.04314775195
16,291940.13795588457
17,305803.27656674886
18,295773.7821664738
19,299641.4919718016
20,330495.57634175214
21,359709.1320624901
22,348886.2942707003
23,293509.42055566114
24,228752.10657437943
25,192812.8690467963
26,190659.94687712032
