,value
0,33427.76914596265
1,28401.140184002936
2,38585.14129153123
3,27646.896088478185
4,41753.10568118496
5,37172.694058585614
6,53602.40390703669
7,46585.338355747735
8,62952.38179793504
9,147664.13477530575
10,161394.36840295672
11,216859.93623789225
12,229394.36259133503
13,194800.46109472835
14,226587.60852704835
15,357791.11434262083
16,478901.6066213206
17,442646.23253574147
18,406137.80394232005
19,459882.8687105278
20,501981.2249661446
21,548317.5977790995
22,503088.6393240804
23,446310.89966438926
24,319350.6893532465
25,274455.8457768331
26,366598.9809206194
